"Item","Part No.","Description","Qty."
"1","00000684","Bolt  GB/T 5783  M10×35","1"
"2","00000679","Washer  GB/T 93  10","1"
"3","00000615","Washer  GB/T 97.1  10","1"
"4","00000220","8902-10080  Pin","1"
"5","00000122","895-45460  Pin","1"
"6","10003263","Block","3"
"7","00000422","8813-455540  Bearing","2"
"8","10003621","Washer","2"
"9","00002228","Screw  GB/T 70.1  M4×25","4"
"10","00000778","Washer  GB/T 97.1  4","4"
"11","00001236","Nut  GB/T 889.1  M4","4"
"12","00008777","Limit switch","2"
"13","00000875","Bolt  GB/T 5783  M8×20","2"
"14","00000609","Washer  GB/T 93  8","4"
"15","00000608","Washer  GB/T 97.1  8","2"
"16","10019060","Switch bracket","1"
"17","00000993","Bolt  GB/T 5783  M8×25","2"
"18","00002000","Washer  GB/T 96.1  8","2"
"19","10019059","Cover","1"
"20","00003099","Wheel (black)","1"
"","00006235","Wheel (grey)","1"
"21","00002274","5/8-18UNF  Nut","9"
"22","00003957","Drive hub","1"
"23","","Rear motor assembly (refer to 107.1)","1"
"24","10019057","Rear motor housing weldment","1"
"25","10002531","Washer","2"
"26","00003115","7/16-14×1 1/2""  Bolt  ANSI B18.2.1","2"
"27","00000997","Washer  GB/T 97.1  16","6"
"28","00001035","Washer  GB/T 93  16","6"
