"Item","Part No.","Description","Qty."
"1","00003148","AC plug (China 220V)","1"
"","00003149","AC plug (USA 110V)","1"
"","00003151","AC plug (European 220V)","1"
"","00003150","AC plug (UK 220V)","1"
"","00002615","AC plug (UK 110V)","1"
"2","00002634","Circuit breaker (Option)","1"
"3","00002603","AC plug (Australia 220V)","1"
"4","10005291","Circuit breaker bracket","1"
"5","00004694","Wire cable, platform AC power (JCPT1523RTB)","1"
"","00004695","Wire cable, platform AC power (JCPT1823RTB)","1"
"6","","Platform AC socket (UK)","1"
"--","00004771","AC socket (UK)","1"
"--","10015580","AC socket bracket (UK)","1"
"7","","Platform AC socket (China/USA)","1"
"--","00000668","AC socket (China/USA)","1"
"--","10009657","AC socket bracket (China/USA)","1"
"8","00002709","AC socket (European)","1"
"9","","Platform AC socket (Australia)","1"
"--","00002617","AC socket (Australia)","1"
"--","10009657","AC socket bracket (Australia)","1"
