"Item","Part No.","Description","Qty."
"1","10025389","Inner arm  Ⅳ","1"
"2","10018816","Outer arm  Ⅳ","1"
"3","00000953","Circlips  GB/T 894.1-60","4"
"4","10003250","Washer","4"
"5","00000087","899-60268  Pin","2"
"6","00000430","8813-607040  Bearing","8"
"7","10003252","Spacer sleeve","4"
"8","10018822","Block","/"
"","10026739","Block","/"
"9","00001054","Screw  GB/T 70.1  M4×12","2"
"10","00000779","Washer  GB/T 93  4","2"
"11","00000778","Washer  GB/T 97.1  4","2"
"12","00000695","Angle sensor","1"
"13","10000251","Sensor cover","1"
