"Item","Part No.","Description","Qty."
"1","10021792","Engine tray","1"
"2","00000615","Washer  GB/T 97.1  10","38"
"3","00000679","Washer  GB/T 93  10","2"
"4","00000678","Bolt  GB/T 5783  M10×25","2"
"5","00009885","Tee fitting","1"
"6","00001835","Elbow","1"
"7","00002069","Straight fitting","2"
"8","00001870","High pressure line filter","1"
"--","00004697","Filter element","1"
"9","00000609","Washer  GB/T 93  8","3"
"10","00000608","Washer  GB/T 97.1  8","6"
"11","00002212","Horn","1"
"12","10005613","Clamp","2"
"13","00000620","Washer  GB/T 97.1  6","10"
"14","00000621","Washer  GB/T 93  6","8"
"15","00000743","Bolt  GB/T 5783  M6×20","2"
"16","","Electrical accessory assembly (refer to 110.3)","1"
"17","00000818","Bolt  GB/T 5783  M6×16","2"
"18","00009588","Fuel pump","1"
"19","00001033","Nut  GB/T 6182  M6","2"
"20","00003176","Bolt  GB/T 5782  M6×40","2"
"21","00003951","Connector (option)","1"
"22","10006310","Engine grill","1"
"23","00000623","Nut  GB/T 6182  M10","18"
"24","00000683","Bolt  GB/T 5783  M10×30","16"
"25","00001041","Bolt  GB/T 5783  M10×40","2"
"26","10003664","Pin","2"
"27","10003669","Spring","2"
"28","10003469","Spacer","2"
