"Item","Part No.","Description","Qty."
"1","00004185","Hose assembly","4"
"2","00004186","Hose assembly","2"
"3","00004187","Hose assembly","2"
"4","00004188","Hose assembly (matching with Kubota Engine)","1"
"","00009871","Hose assembly (matching with YANMAR Engine)","1"
"5","00004188","Hose assembly (matching with Kubota Engine)","1"
"","00009872","Hose assembly (matching with YANMAR Engine)","1"
"6","00004189","Hose assembly","1"
"7","00004190","Hose assembly","1"
"8","00004191","Hose assembly","1"
"9","00004192","Hose assembly (matching with Kubota Engine)","1"
"","00009873","Hose assembly (matching with YANMAR Engine)","1"
"10","00004193","Hose assembly","2"
"11","00003704","Hose assembly","1"
"12","00004194","Hose assembly","2"
"13","00004195","Hose assembly","2"
"14","00004196","Hose assembly","2"
"15","00002197","Hose assembly","2"
"16","00004197","Hose assembly","2"
"17","00004198","Hose assembly","1"
"18","00004199","Hose assembly","1"
"19","00009524","Hose assembly","1"
"20","00001266","Straight fitting","2"
"21","00001283","Straight fitting","8"
"22","00002073","Straight fitting","8"
"23","00001285","Straight fitting","2"
"24","00001783","Straight fitting","1"
"25","00001270","Straight fitting","1"
"26","00001269","Straight fitting","2"
