"Item","Part Number","Description","Qty.","Remark"
"1","00000683","Bolt  GB/T 5783  M10 × 30","6",""
"2","00000615","Flat Washer  GB/T 97.1  10","24",""
"3","92101279","Support","1","BT30RT"
"","92048366","Support","1","BT30SRT 
BT28RT 
BT28BRT"
"","92100094","Support","1","BT28SRT 
BT26RT 
BT26BRT"
"","92049355","Support","1","BT26SRT 
BT24RT 
BT24BRT"
"4","92101278","Chain","1","BT30RT"
"","92048336","Chain","1","BT30SRT 
BT28RT 
BT28BRT"
"","92100096","Chain","1","BT28SRT 
BT26RT 
BT26BRT"
"","92049357","Chain","1","BT26SRT 
BT24RT 
BT24BRT"
"5","00000623","Nut  GB/T 6182  M10","12",""
"6","00002467","Bolt  GB/T 5783  M10 × 90","2",""
"7","92100680","Plate","2",""
"8","92100678","Clamp","1",""
"9","00001041","Bolt  GB/T 5783  M10 × 40","4",""
"10","00000679","Spring Washer  GB/T 93  10","4",""
"11","00001033","Nut  GB/T 6182  M6","2",""
"12","00000620","Flat Washer  GB/T 97.1  6","4",""
"13","00006414","Bolt  GB/T 5782  M6 × 145","2",""
"14","92048339","Roller","2",""
"15","00000854","Screw  GB/T 70.3  M12×25","14","BT30RT 
BT30SRT 
BT28RT 
BT28BRT"
