"Item","Part Number","Description","Qty.","Remark"
"1","92101205","Support,Controller","1",""
"2","00008699","Controller","1",""
"--","85000077","Controller (J1939 PVG Valve)","1","BT24RT"
"--","85000078","Controller (J1939 PVG Valve)","1","BT26RT"
"--","85000079","Controller (J1939 PVG Valve)","1","BT26SRT"
"--","85000080","Controller (J1939 PVG Valve)","1","BT28RT"
"--","85000108","Controller (J1939 PVG Valve)","1","BT28SRT"
"--","85000081","Controller (J1939 PVG Valve)","1","BT30RT"
"--","85000100","Controller (J1939 PVG Valve)","1","BT30SRT"
"--","85000110","Controller (J1939 PVG Valve)","1","BT24BRT"
"--","85000111","Controller (J1939 PVG Valve)","1","BT26BRT"
"--","85000112","Controller (J1939 PVG Valve)","1","BT28BRT"
"3","00000620","Flat Washer  GB/T 97.1  6","15",""
"4","00000774","Screw  GB/T 70  M6 × 20","7",""
"5","00000605","Flat Washer  GB/T 97.1  5","4",""
"6","00000606","Spring Washer  GB/T 93  5","4",""
"7","00002484","Screw  GB/T 70  M5 × 25","4",""
"8","00000619","Bolt  GB/T 5783  M6 × 25","4",""
"9","00000621","Spring Washer  GB/T 93  6","10",""
"10","92029394","Engine ECU","1",""
"11","92100027","Support","1",""
"12","00001063","Bolt  GB/T 5783  M8 × 16","2",""
"13","00000609","Spring Washer  GB/T 93  8","2",""
"14","00002000","Flat Washer  GB/T 96.1  8","2",""
"15","00006155","Power Distribution Module (Refer to 7-5)","1",""
"16","00000876","Screw  GB/T 70  M6 × 16","4",""
"17","00000818","Bolt  GB/T 5783  M6 × 16","2",""
"18","00002583","Flat Washer  GB/T 96.1  6","2",""
"19","00001033","Nut  GB/T 6182  M6","3",""
