"Item","Part Number","Description","Qty.","Remark"
"1","92000169","Insert","6",""
"2","92009458","Plug","24",""
"3","92000132","Sliding Block","1",""
"4","92000134","Shim","3",""
"5","00006122","Bolt  GB/T 5786  M12×1.25 × 30","6",""
"6","00000815","Spring Washer  GB/T 93  12","6",""
"7","00000814","Flat Washer  GB/T 97.1  12","6",""
"8","92000120","Shim","3",""
"9","92000116","Sliding Block","1",""
"10","00000674","Bolt  GB/T 5783  M10 × 20","4",""
"11","00000679","Spring Washer  GB/T 93  10","8",""
"12","00000615","Flat Washer  GB/T 97.1  10","8",""
"13","00000684","Bolt  GB/T 5783  M10 × 35","4",""
"14","92029615","Shim","10",""
"15","92000145","Sliding Block","2",""
"16","92000143","Sliding Block","2",""
"17","92000139","Insert","8",""
