"Item","Part Number","Description","Qty.","Remark"
"1","00000678","Bolt  GB/T 5783  M10 × 25","4",""
"2","00000679","Spring Washer  GB/T 93  10","4",""
"3","00000615","Flat Washer  GB/T 97.1  10","12",""
"4","00000623","Nut  GB/T 6182  M10","4",""
"5","92000107","Bracket","1",""
"6","92000170","Fuel / Water Separator","1",""
"--","00007852","Filter element","1",""
"7","00000684","Bolt  GB/T 5783  M10 × 35","4",""
"8","92049352","Chassis Manifold (Refer to 1-9)","1",""
"9","00002497","Screw  GB/T 70  M8 × 100","3",""
"10","92049292","Seal","1",""
"11","92047752","Radiator","1",""
"12","00001249","Nut  GB/T 6182  M12","4",""
"13","00000814","Flat Washer  GB/T 97.1  12","16",""
"14","92049291","Support","4",""
"15","00002046","Bolt  GB/T 5783  M12 × 35","8",""
"16","00000815","Spring Washer  GB/T 93  12","8",""
"17","90001085","Absorber (Include item 18, 19, 20)","4",""
"18","90011240","Washer","8",""
"19","90011239","Rubber Ring","8",""
"20","90011145","Spacer","4",""
"21","00001300","Bolt  GB/T 5782  M12 × 90","4",""
"22","92049294","Temperature Sensor","1",""
