"Item","Part Number","Description","Qty.","Remark"
"1","00005531","Bolt  GB/T 5786  M12×1.25 × 20","4",""
"2","00000815","Spring Washer  GB/T 93  12","4",""
"3","00000814","Flat Washer  GB/T 97.1  12","4",""
"4","92030000","Shim","4",""
"5","92000147","Sliding Block","2",""
"6","92009458","Plug","24",""
"7","92000169","Insert","4",""
"8","00001033","Nut  GB/T 6182  M6","12",""
"9","00000620","Flat Washer  GB/T 97.1  6","24",""
"10","00000774","Screw  GB/T 70  M6 × 20","12",""
"11","92100136","Guard","1",""
"12","92100135","Guard","1",""
"13","92000139","Insert","8",""
"14","92000145","Sliding Block","4",""
"15","92029615","Shim","8",""
"16","00000674","Bolt  GB/T 5783  M10 × 20","8",""
"17","00000679","Spring Washer  GB/T 93  10","8",""
"18","00000615","Flat Washer  GB/T 97.1  10","8",""
