"Item","Part Number","Description","Qty.","Remark"
"--","92000091","Platform Control Box Assembly 
(Include item 12, 13, 15, 26, 27, 36)","1",""
"1","00002333","Screw  GB/T 818  M4 × 8 - H","4",""
"2","00005395","LED Panel","1",""
"3","00005459","Screw  GB/T 819  M5 × 8 - H","2",""
"4","00005393","Joystick (Steer &Drive)","1",""
"5","00006134","Switch, Toggle","7",""
"6","00000667","Plug, Toggle Switch","1",""
"7","00005401","Switch, Toggle","2",""
"8","00000876","Screw  GB/T 70  M6 × 16","5",""
"9","00000621","Spring Washer  GB/T 93  6","5",""
"10","00000620","Flat Washer  GB/T 97.1  6","5",""
"11","00002326","Alarm","1",""
"12","00001252","Screw  GB/T 70  M5 × 12","8",""
"13","00005391","Hinge","2",""
"14","92000094","Bracket","1",""
"15","92000092","Platform Control Box","1",""
"16","00005396","Housing for Male Terminals","1",""
"17","00005398","Housing for FemaleTerminals","1",""
"18","00004693","Back Shell","1",""
"19","00005399","Housing for Female Tterminals","1",""
"20","00005397","Housing for Male Terminals","1",""
"21","00003164","Load Sensor Amplifier","1",""
"22","00001987","Screw  GB/T 70  M4 × 8","2",""
"23","00000993","Bolt  GB/T 5783  M8 × 25","4",""
"24","00000609","Spring Washer  GB/T 93  6","4",""
"25","00000608","Flat Washer  GB/T 97.1  6","4",""
"26","00002002","Screw  GB/T 70  M4 × 10","8",""
