"Item","Part No.","Description","Qty."
"1","10001278","Rear rail","1"
"2","10002354","Upper main rail, left","1"
"3","00002574","Nut  GB/T 6183.1  M6","19"
"4","00002581","Bolt  GB/T 16674  M6×50","18"
"5","10002355","Upper main rail, right","1"
"6","00000887","Circlips  GB/T 893.1-47","2"
"7","00001295","Bearing  GB/T 276-1994 - 6204","2"
"8","10002031","Roller","2"
"9","00001823","Clip 24","2"
"10","00004385","Screw  GB/T 823  M4×8","2"
"11","00002316","Water-proof joint  M24","1"
"12","00001154","Screw  GB/T 70.3  M8×45","8"
"13","10000307","Roller bracket","2"
"14","10001389","Sheath","1"
"15","10002347","Main deck weldment","1"
"16","10000299","Hinge A","1"
"17","10000302","Hinge B","1"
"18","00000368","8812-252820  Bearing","2"
"19","10001250","Entry gate","1"
"20","00002585","Bolt  GB/T 16674  M6×45","1"
"21","10002379","Spring","1"
"22","10001255","Latch handle","1"
"23","00001991","Rivet  GB/T 12618.4  4.8×16","2"
"24","10001178","Inserted pin","2"
