"Item","Part No.","Description","Qty."
"1","10000464","Fitting","1"
"2","00002519","Washer  BS/A 13.74","2"
"3","10000465","Fitting","1"
"4","10014126","Upper lift cylinder","1"
"5","00001073","Plug  VSTI14×1.5ED","1"
"6","10000086","Relief valve","1"
"7","00001292","Straight fitting","1"
"8","00004686","Solenoid valve spool","1"
"9","00003018","Coil","1"
"10","00003017","Nut","1"
"11","00003337","Seal kit","1"
"12","10000404","Check valve","1"
"13","00002998","Plug  SAE4","1"
"14","00003028","Orifice  Φ0.7","1"
"15","10000462","Nut","1"
