"Item","Part No.","Description","Qty."
"1","00004274","Hydraulic power unit (refer to 105.1)","1"
"2","10000462","Nut","1"
"3","00001318","Straight fitting","3"
"4","00002200","Battery","2"
"5","00001244","Alarm","1"
"6","00002573","Nut  GB/T 6183.1  M5","8"
"7","00001250","Screw  GB/T 818  M5×16 - H","8"
"8","10001997","Towline","1"
"9","00000828","Screw  GB/T 70.3  M6×10","4"
"10","10002024","Towline bracket","1"
"11","00002865","Bolt  QC/T 340  M6×14","2"
"12","10018617","Press plate","1"
"13","00000745","Bolt  GB/T 5783  M6×12","2"
"14","00000621","Washer  GB/T 93  6","2"
"15","00000620","Washer  GB/T 97.1  6","2"
"16","","Motor controller assembly (refer to 106.1)","1"
"17","00001246","Screw  GB/T 70.1  M5×16","4"
"18","00000606","Washer  GB/T 93  5","10"
"19","00000605","Washer  GB/T 97.1  5","10"
"20","00000666","Horn","1"
"21","10011884","Latch","2"
"22","00001166","Screw  GB/T 818  M6×20 - H","8"
"23","00002574","Nut  GB/T 6183.1  M6","8"
"24","","Ground control assembly (refer to 107.1)","1"
"25","00001002","Screw  GB/T 973  M4×10","8"
"26","10016395","Battery tray weldment","1"
"27","00001001","Screw  GB/T 973  M4×8","4"
"28","10015566","Cover","1"
"29","00002319","Screw  GB/T 818  M5×10 - H","2"
