"Item","Part Number","Description","Qty.","Remark"
"1","00001163","Nut  GB/T 6182  M8","2",""
"2","00000608","Flat Washer  GB/T 97.1  8","4",""
"3","50009087","Bracket","1",""
"4","00000875","Bolt  GB/T 5783  M8 × 20","2",""
"5","00000609","Spring Washer  GB/T 93  8","4",""
"6","00002000","Flat Washer  GB/T 96.1  8","2",""
"7","50007595","Washer","1",""
"8","50009089","Spark Arrester","1",""
"9","50009088","Clamp","1",""
"10","00000993","Bolt  GB/T 5783  M8 × 25","2",""
"11","50009092","Clamp","1",""
"12","50009086","Connecting Pipe","1",""
"13","00000993","Bolt  GB/T 5783  M8 × 25","2",""
"14","00000608","Flat Washer  GB/T 97.1  8","2",""
