"Item","Part Number","Description","Qty.","Remark"
"1","00001825","M12 Clamp","4",""
"2","10001599","Bracket, Limit Switch","2",""
"3","00002354","Limit Switch","2",""
"4","00000999","Screw  GB/T 973  M5×10","8",""
"5","10001645","Pole","2",""
"6","00002586","Screw  M8×16","2",""
"7","10001644","Pole","2",""
"8","00001066","Bolt  GB/T 5782  M6 × 55","4",""
"9","00000620","Flat Washer  GB/T 97.1  6","16",""
"10","00001033","Nut  GB/T 6182  M6","8",""
"11","00000619","Bolt  GB/T 5783  M6 × 25","4",""
"12","00000621","Spring Washer  GB/T 93  6","8",""
"13","00006839","3.4m Harness","2",""
