"Item","Part Number","Description","Qty.","Remark"
"1","00004418","Screw  GB/T 70  M6 × 40","2",""
"2","50007644","Clamp","2",""
"3","00002512","Bolt  GB/T 5782  M10 × 70","1",""
"4","00001028","Flat Washer  GB/T 96.1  10","2",""
"5","00002560","Screw  GB/T 70  M8 × 30","2",""
"6","00000608","Flat Washer  GB/T 97.1  8","8",""
"7","00000993","Bolt  GB/T 5783  M8 × 25","2",""
"8","10015262","Container-Coolant Overflow","1",""
"9","00001163","Nut  GB/T 6182  M8","4",""
"10","10001218","Support","1",""
"11","10001220","Plate","1",""
"12","00000743","Bolt  GB/T 5783  M6 × 20","2",""
"13","00000620","Flat Washer  GB/T 97.1  6","4",""
"14","00000623","Nut  GB/T 6182  M10","1",""
"15","10002721","Support","1",""
"16","00001033","Nut  GB/T 6182  M6","4",""
"17","00002251","Rubber Mounting","1",""
"18","00000678","Bolt  GB/T 5783  M10 × 25","2",""
"19","00000679","Spring Washer  GB/T 93  10","2",""
"20","00000615","Flat Washer  GB/T 97.1  10","2",""
"21","50008423","Bracket","1",""
