"Item","Part Number","Description","Qty.","Remark"
"1","09110078","Panel","1",""
"2","00003162","Indicator, Red","1",""
"3","00006135","Switch, Toggle","7",""
"4","00006139","Push Button, yellow","1",""
"5","00006138","Push Button, Green","1",""
"6","00006154","Push Button, Red","1",""
"7","00006137","Push Button, Red","1",""
"8","00000754","Red Mushroom Head","1",""
"9","00000752","Base With 1 NC Contact","1",""
"10","00002566","Select Switch Head","1",""
"11","00002346","Base With 1 NO Contact","1",""
"12","85000137","Display","1",""
"13","00006133","Key Switch","1",""
"14","00001018","Screw  GB/T 973  M6 × 14","4",""
