"Item","Part Number","Description","Qty.","Remark"
"1","92049057","Seal","1",""
"2","00000995","Bolt  GB/T 5783  M8 × 30","2",""
"3","00000609","Spring Washer  GB/T 93  8","22",""
"4","00000608","Flat Washer  GB/T 97.1  8","24",""
"5","00006642","Switch, Limit","1",""
"6","50000516","Support","1",""
"7","00001163","Nut  GB/T 6182  M8","2",""
"8","00000875","Bolt  GB/T 5783  M8 × 20","16",""
"9","50007678","Housing","1",""
"10","50007599","Seal","1",""
"11","00002059","Bolt  GB/T 5783  M12 × 30","4",""
"12","00000815","Spring Washer  GB/T 93  12","4",""
"13","00002601","Flat Washer  GB/T 96.1  12","4",""
"14","92029257","Striker","1",""
"15","00000674","Bolt  GB/T 5783  M10 × 20","6",""
"16","00000679","Spring Washer  GB/T 93  10","6",""
"17","00000615","Flat Washer  GB/T 97.1  10","6",""
"18","00001870","Charge Filter Assembly","1",""
"--","00004697","Filter element","1",""
"19","50007628","Support","1",""
"20","50007602","Cover","1","Kubota Engine"
"","50009058","Cover","1","Perkins Engine"
"21","00000993","Bolt  GB/T 5783  M8 × 25","4",""
"22","92048934","Housing","1",""
