"Item","Part Number","Description","Qty.","Remark"
"1","00002606","Limit Switch","4",""
"2","00005080","M12 Clamp","4",""
"3","00001060","Screw  GB/T 818  M6 × 12 - H","16",""
"4","10001704","Pole","4",""
"5","10003413","Plug","4",""
"6","00002586","Screw  M8×16","4",""
"7","10001644","Pole","4",""
"8","00001033","Nut  GB/T 6182  M6","16",""
"9","00000620","Flat Washer  GB/T 97.1  6","32",""
"10","00001066","Bolt  GB/T 5782  M6 × 55","8",""
"11","00000621","Spring Washer  GB/T 93  6","16",""
"12","00001825","M12 Clamp","4",""
"13","00000619","Bolt  GB/T 5783  M6 × 25","8",""
"14","00009366","Harness","4",""
