"Item","Part Number","Description","Qty.","Remark"
"1","00002512","Bolt  GB/T 5782  M10 × 70","1",""
"2","00001028","Flat Washer  GB/T 96.1  10","2",""
"3","50009048","Bracket","1",""
"4","00002560","Screw  GB/T 70  M8 × 30","2",""
"5","00000608","Flat Washer  GB/T 97.1  8","10",""
"6","10001220","Plate","1",""
"7","00000993","Bolt  GB/T 5783  M8 × 25","2",""
"8","10015262","Container-Coolant Overflow","1",""
"9","92100158","Clamp","1",""
"10","50009072","Hose","1",""
"11","00001163","Nut  GB/T 6182  M8","4",""
"12","10001218","Support","1",""
"13","00000875","Bolt  GB/T 5783  M8 × 20","2",""
"14","00000609","Spring Washer  GB/T 93  8","2",""
"15","00000623","Nut  GB/T 6182  M10","1",""
"16","50009047","Plate","1",""
"17","00002251","Rubber Mounting","1",""
"18","00000678","Bolt  GB/T 5783  M10 × 25","2",""
"19","00000679","Spring Washer  GB/T 93  10","2",""
"20","00000615","Flat Washer  GB/T 97.1  10","2",""
