"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"4","02552500300600000","Third-section boom attachment","B","1",""
"24","02552500301001110","Zinc coat first extending wire rope","B","2","Alternative for
02552500301001010"
"24","02552500301001010","No.1 extending wire rope","B","2","Alternative for
02552500301001110"
"28","1040302490","Washer","B","13","GB/T97.1-2002"
"29","1040002442","Bolt","A","5","GB/T5783-2000"
"48","02552500301001120","Zinc coat first retracting wire rope","B","2","Alternative for
02552500301001020"
"48","02552500301001020","No.1 retracting wire rope","B","2","Alternative for
02552500301001120"
"64","1040302489","Washer","B","47","GB/T97.1-2002"
"65","1040002433","Bolt","A","4","GB/T5783-2000"
"66","1040302512","Washer","A","4","GB/T96.1-2002"
"80","00771900311001271","Lubrication-free bearing","A","2",""
"81","02552300301001060","Second retracting pulley guard plate","B","2",""
"82","00771600301001460","Wear gasket I","B","4",""
"83","00771900311050000","No.2 retracting pulley","B","2",""
"84","00771900311140000","Second retracting pulley axle","C","2",""
"85","02552500301001040","No.2 retracting wire rope","B","2","Alternative for
02552500301001140"
"85","02552500301001140","Zinc coat second retracting wire rope","B","2","Alternative for
02552500301001040"
"86","00771900311001181","Limit block","A","1",""
"87","1040004508","Bolt","A","4","GB/T5783-2000"
"88","02552500301001060","First extending wire rope seat I","A","1",""
