"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"2","02552500301010000","Telescopic cylinder","A","1",""
"24","02552500301001110","Zinc coat first extending wire rope","B","2","Alternative for
02552500301001010"
"24","02552500301001010","No.1 extending wire rope","B","2","Alternative for
02552500301001110"
"28","1040302490","Washer","B","13","GB/T97.1-2002"
"62","1040200504","Nut","A","14","GB/T889.1-2000"
"64","1040302489","Washer","B","47","GB/T97.1-2002"
"181","02552500301001050","First extending pulley guard plate","A","1",""
"182","00771600301001480","Wear spacer II","B","2",""
"183","02552500301001090","Side slider","A","2",""
"184","02552500301020000","No.1 extending pulley","A","1",""
"185","00771900311001261","Lubrication-free bearing","A","2",""
"186","1040002437","Bolt","A","4","GB/T5783-2000"
"187","1040004355","Bolt","A","3","GB/T5782-2000"
"188","1040007513","Bolt","A","2","GB/T5782-2000"
"189","00771900311090000","First extending pulley axle","D","1",""
"190","1040102757","Screw","A","1","GB/T70.3-2000"
"191","02552500301130000","First extending pulley bracket","A","1",""
