"Item","Part No.","Description","Qty."
"22","00006223","3/8-16×1 1/2""  Bolt  ANSI B18.2.1","14"
"23","00005181","Washer  ANSI B18.21.1  3/8","14"
"24","00005182","Washer  ANSI B18.22.1  narrow  3/8","14"
"25","10011739","Steer yoke weldment","1"
"26","00008592","Drive motor assembly","2"
"--","00006898","Reducer","1"
"--","00009445","Drive motor assembly (includes motor, brake and motor 
cover)","1"
"--","00008358","Motor (KDS) (with brake)","1"
"","00009458","Motor (HS) (with brake)","1"
"--","00008033","Brake (KDS)","1"
"","00009459","Brake (HS)","1"
"--","10018072","Motor cover (KDS)","1"
"","10020821","Motor cover (HS)","1"
"27","10014972","Wheel","2"
"28","10014971","Bolt","10"
"29","00002572","Nut  GB/T 6183.1  M10","1"
"30","00002875","Bolt  QC/T 340  M8×20","2"
"31","10007359","Hose clamp support","1"
"32","10020335","Hose clamp","2"
"33","00001042","Screw  GB/T 70.1  M6×30","2"
"34","00001033","Nut  GB/T 6182  M6","4"
"35","10007360","Hose clamp","2"
"36","00000774","Screw  GB/T 70.1  M6×20","2"
"37","10020336","Bolt","1"
