"Item","Part No.","Description","Qty."
"1","00008653","Shell components (without IOT module)","1"
"","00008654","Shell components (with IOT module)","1"
"2","00000712","Alarm","1"
"3","00008656","Alarm Harness","1"
"4","00008659","Main Board","1"
"5","00008655","Display","1"
"6","00008658","Decal, Ground control panel","1"
"7","00001243","Key switch (key removable in off position)","1"
"","00003356","Key switch (key removable in all position)","1"
"--","00003050","Key","1"
"8","00000713","Emergency stop switch","1"
"--","00003045","Red mushroom head","1"
"--","00003046","Base with 1 NO contact","1"
"9","00008657","EMS Switch Harness","1"
