"Item","Part No.","Description","Qty."
"1","10000293","Outer arm 5","1"
"2","10000739","Inner arm 4","1"
"3","00002891","Bolt  GB/T 16674  M10×110","2"
"4","10000044","Cable bridge","1"
"5","10000735","Inner arm 3","1"
"6","00000568","898-38.1×638.5  Pin","8"
"7","00001027","Bolt  GB/T 5782  M10×80","15"
"8","00000623","Nut  GB/T 6182  M10","15"
"9","00000595","895-38.1×220  Pin","1"
"10","10000256","Spacer sleeve","2"
"11","10014451","Inner arm 2","1"
"12","10000285","Outer arm","1"
"--","10014904","Left single link","1"
"--","10014903","Right single link","1"
"13","10000255","Chassis slider","2"
"14","00002096","896B-38.1×25A  Pin","2"
"15","","Lower lift cylinder assembly (without seal kit) (refer to 
401.1)","1"
"16","10001170","Hose (to tank)","1"
"17","00002877","Bolt  QC/T 340  M10×35","7"
"18","10000265","Pothole pusher","2"
"19","00005412","Bolt  GB/T 16674  M10×45","1"
"20","00000220","8902-10080  Pin","2"
"21","00000596","895-38.1×236  Pin","1"
"22","10000278","Outer arm 1","1"
"23","00000566","898-38.1×206.5  Pin","2"
"24","00000438","8813-38.1×44.45×31.75  Bearing","24"
"25","10000257","Spacer sleeve","2"
"26","10000254","Washer","10"
