"Item","Part No.","Description","Qty."
"1","10000044","Cable bridge","1"
"2","10000261","Cable bridge","1"
"3","10000285","Outer arm","3"
"--","10014904","Left single link","1"
"--","10014903","Right single link","1"
"4","","Upper lift cylinder assembly (without seal kit) (refer to 
402.1)","1"
"5","10000286","Inner arm 3","1"
"6","00001027","Bolt  GB/T 5782  M10×80","20"
"7","00000623","Nut  GB/T 6182  M10","20"
"8","00000595","895-38.1×220  Pin","3"
"9","00005413","Bolt  GB/T 16674  M10×40","1"
"10","00000787","Circlips 
JB/ZQ 4342-38","17"
"11","10000254","Washer","14"
"12","10000257","Spacer sleeve","4"
"13","00000438","8813-38.1×44.45×31.75  Bearing","34"
"14","00000566","898-38.1×206.5  Pin","4"
"15","10000255","Chassis slider","2"
"16","10000425","Hydraulic hoses manifolds","1"
"17","00000832","Screw  GB/T 70.3  M6×25","2"
"18","10000403","Hose (to upper lift cylinder)","1"
"19","10001171","Hose (to tank)","1"
"20","10000402","Hose (to lower lift cylinder)","1"
"21","00002877","Bolt  QC/T 340  M10×35","7"
"22","10000265","Pothole pusher","2"
"23","00005412","Bolt  GB/T 16674  M10×45","1"
"24","00000596","895-38.1×236  Pin","1"
"25","00000220","8902-10080  Pin","4"
"26","10000278","Outer arm 1","1"
