"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","1040004511","Болт M12×30-8.8","4","GB/T5783-2000"
"2","1040300054","Шайба 12","4","GB/T93-1987"
"3","1040302490","Шайба 12-200HV","4","GB/T97.1-2002"
"4","1149901683","Прямой соединитель","1","GE42LREDOMDCF"
"5","1140103362","Прямой соединитель","2","GE28LREDOMDCF"
"6","1140101462","Прямой соединитель","2","GE12LREDOMDCF"
"7","1140101464","Прямой соединитель","3","GE15LREDOMDCF"
"8","1140111237","Прямой соединитель","1","GE08LREDOMDCF"
"9","1019901354","Уровнемер-термометр","1","FSA-176-1.0/T/10"
"10","007716052016000000","Корпус бака","1",""
"11","00771405201601010","Резиновая прокладка
перекрывающей пластины","1",""
"12","00771405201620000","Перекрывающая пластина
в сборе","1",""
"13","1040301510","Шайба 8","16","GB/T93-1987"
"14","1040301515","Шайба 8-200HV","16","GB/T97.1-2002"
"15","1040004518","Болт M8×20-8.8","12","GB/T5783-2000"
"16","1010500340","Воздушный фильтр
масляного бака","1","BFP30G3W1.0"
"17","1040004519","Болт M8×25-8.8","4","GB/T5783-2000"
"18","1010601139","Обратный масляный
фильтр","1","RFMON185B
D10A1.0/-V300"
"19","1140101992","Шестигранная заглушка","11","VSTI1/2EDCF"
