"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","00771407101001020","Воздуховыпускной труба-хвост","1",""
"2","00771407101001030","Усилительная планка","1",""
"3","00771607121001040","Выхлопная труба II","1",""
"4","00771407121001020","Выхлопная труба I","1",""
"5","00771407121001050","Уплотнительная прокладка I","2",""
"6","00771407121001010","Глушитель","1",""
"7","00771407121001030","Кронштейн","1",""
"8","1040002434","Болт M10×25-8.8","8","GB/T5783-2000"
"9","1040302489","Шайба 10-200HV","8","GB/T97.1-2002"
"10","1040200503","Гайка M8-8","16","GB/T889.1-2000"
"11","00771407121001060","Уплотнительная прокладка II","1",""
"12","1040301515","Шайба 8-200HV","16","GB/T97.1-2002"
"13","1040004519","Болт M8×25-8.8","16","GB/T5783-2000"
