"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","00771607110410000","Топливный бак в сборе","1",""
"2","00771607100401070","Топливная труба","1",""
"3","1990202279","Хомут червяка и червячного
колеса","12",""
"4","00771607100401030","Топливная труба I","1",""
"5","1990200692","Клейкая лента, покрытая слоем
пластмассы","5",""
"6","1040302487","Шайба 6-200HV","4","GB/T97.1-2002"
"7","1040004663","Винт M6×12-8.8","4","GB/T5782-2000"
"8","00771607100401050","Топливная труба III","1",""
"9","1040004619","Болт M8×35-8.8","2","GB/T5783-2000"
"10","1040302489","Шайба 10-200HV","2","GB/T97.1-2002"
"11","1040002458","Болт M8×40-8.8","2","GB/T5783-2000"
"12","00771607100401040","Топливная труба II","1",""
"13","1000400478","Водо-масляный сепаратор","1",""
"14","00771607100401060","Топливная труба IV","1",""
"15","00771107100401070","Изогнутая пластина","1",""
"16","1040004518","Болт M8×20-8.8","4","GB/T5783-2000"
"17","1040004565","Болт M10×30-8.8-DKL","2","GB/T5783-2016"
"18","00773407100401050","Штуцер II","5",""
"19","1081000673","Комбин. уплот. шайба","10",""
"20","00773407100401060","Пустотелый болт M16×1.5×35","5",""
