"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","00771607110601200","Плита III","1",""
"2","00771607110601190","Плита II","1",""
"3","00771607110601180","Плита I","2",""
"4","00771607110601170","Ветровой щитВетровой щит","1",""
"5","00771607110601160","Изогнутая пластина III","1",""
"6","00771607110601150","Изогнутая пластина II","1",""
"7","1040004619","Болт M8×35-8.8","4","GB/T5783-2000"
"8","00771107120601010","Монтажная панель водяного
бака","1",""
"9","1000300735","Расширительный бак","1",""
"10","00771607110601110","Паровой шланг
III","1",""
"11","00771607110601120","Паровой шланг
IV","1",""
"12","00771607110601090","Паровой шланг
I","1",""
"13","00771607110601130","Тройной штуцер","1",""
"14","00771607110601100","Паровой шланг II","1",""
"15","1990202279","Хомут червяка и червячного
колеса","8",""
"16","00771607110601050","шланг III","1",""
"17","00771607110601070","Выпускная труба","1",""
"18","00771607110601040","шланг
II","1",""
"19","00771607110601030","шланг I","1",""
"20","00771607110601080","Водопроводная труба","1",""
