"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"21","00771600800001220","Контроллер Соед. планка","1",""
"22","1040200504","Гайка M10-8","5","GB/T889.1-200"
"23","00771400802400000","Кронштейн электрического","1",""
"24","1040004615","Болт M16×110-8.8","2","GB/T5783-2000"
"25","1040002458","Болт M8×40-8.8","2","GB/T5783-2000"
"26","1040301515","Шайба 8-200HV","4","GB/T97.1-2002"
"27","00771600800001100","Труб. зажим I","2",""
"28","1040001631","Болт M6×20-A2-70","7","GB/T5783-2000"
"29","1040301610","Шайба 6","5","GB/T93-1987"
"30","1040300735","Шайба 6-200HV","18","GB/T96.1-2002"
"31","00771600800001210","Уплотнительная пластина","1",""
"32","1040200161","Гайка M16-8","4","GB/T889-1986"
"33","1040302492","Шайба 16-200HV","5","GB/T97.1-2002"
"34","1040005847","Болт M16×50-10.9","4","GB/T5783-2000"
"35","1040301510","Шайба 8","4","GB/T93-1987"
"36","1040004518","Болт M8×20-8.8","4","GB/T5783-2000"
"37","00771600800001320","Резиновая прокладка","1",""
