"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"21","00771601101001010","Плита Tp5","1",""
"22","00771601100001140","Подкладка Tp10","2",""
"23","1040201089","Гайка M8-8","46","GB/T6170-2000"
"24","1040301510","Шайба 8","30","GB/T93-1987"
"25","1101000089","Петля CCM-Z270","6",""
"26","00771601101400000","Монтажный кронштейн левого","1",""
"27","1040302480","Шайба 8-200HV","72","GB/T96.1-2002"
"28","1040004520","Болт M8×30-8.8","34","GB/T5783-2000"
"29","1040100105","Винт M6×25-8.8","27","GB/T70.1-2000"
"30","1040300771","Шайба 6-200HV","27","GB/T97.1-2002"
"31","00771101100001080","Монтажная панель сердцевины","1",""
"32","1100700163","Дверная ручка 26983-09","3",""
"33","1109900765","Гидравлический дверной замок","1",""
"34","1110100324","Пневматическая пружина
555800","2",""
"35","00771601100600000","Сварка левого заднего капота","1",""
"36","1109900766","Замок аккумулятора","2",""
"37","00771401110001020","Монтажная панель сердцевины","1",""
"38","00771601100001100","Трос привода левого переднего","1",""
