"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"21","00773400300001140","Регулировочная прокладка V","12",""
"22","00771100301270000","Сухарь","6",""
"23","1040004508","Болт M10×45-8.8","4","GB/T5783-2000"
"24","1040302489","Шайба 10","36",""
"25","1040002434","Болт M10×25-8.8","10","GB/T5783-2000"
"26","1040201111","Гайка M24","3","GB/T889-1986"
"27","1040201092","Гайка M24","3","GB/T6170-2000"
"28","1040301511","Шайба M24","1","GB/T97.1-2002"
"29","1040200741","Гайка M20","2","GB/T889.1-2000"
"30","1040201093","Гайка M20","2","GB/T6170-2000"
"31","1040302493","Шайба M20","2",""
"32","00771600301070000","Устройство для регулировки
натяжения","1",""
"33","1040002434","Болт M10×25-8.8","4","GB/T5783-2000"
"34","00771600301050000","Неподвижный шкив","2",""
