"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","1040002434","Болт M10×25-8.8","8","GB/T5783-2000"
"2","00773400300001200","Стопорный штифт","1",""
"3","00771400800001030","Штифт","1",""
"4","00771600800001180","Уплотнительная пластина","1",""
"5","00771400801800000","Штепсель в сборке","1",""
"6","00771600800001230","Накладка колодки","1",""
"7","1040300735","Шайба 6-200HV","18","GB/T96.1-2002"
"8","1040002738","Болт M6×12-A2-70","11","GB/T5783-2000"
"9","1040301515","Шайба 8-200HV","16","GB/T97.1-2002"
"10","1040004517","Болт M8×16-8.8","8","GB/T5783-2000"
"11","00771600800001050","Монтажный кронштейн","1",""
"12","1040001631","Болт M6×20-A2-70","7","GB/T5783-2000"
"13","00771100800001120","Кронштейн электрического","1",""
"14","00771400800001190","Монтажный кронштейн","1",""
"15","1040201865","Гайка M6-8","2","GB/T6170-2000"
"16","00771600800001190","Уплотнительная пластина","1",""
"17","00771600800001200","Уплотнительная пластина","1",""
"18","1040004518","Болт M8×20-8.8","4","GB/T5783-2000"
"19","1040301510","Шайба 8","4","GB/T93-1987"
"20","1040200504","Гайка M10-8","5","GB/T889.1-2000"
"21","1040103205","Винт M12×100-8.8","1","GB/T70.1-2000"
"22","00771400800001010","Стопорный штифт","1",""
"23","1040100087","Болт M12×25-8.8","4","GB/T70.1-2000"
"24","00771600801800000","Стопорный кронштейн","1",""
"25","00771600800001300","Опорная плита аккумулятора","1",""
"26","00771600800001260","Дождезащитная пластина","1",""
"27","00771600800001250","Тяга II","1",""
"28","00771600800001090","Прижимная планка I","1",""
"29","00771600800001240","Тяга I","1",""
