"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"21","1149901739","Быстросъемная муфта","2",""
"22","00771407100401070","Топливная труба VI","1",""
"23","1149901738","Быстросъемная муфта","1",""
"24","00773407100401030","Изогнутая пластина III","1",""
"25","1040004519","Болт M8×25-8.8","2","GB/T5783-2000"
"26","1040301515","Шайба 8-200HV","3","GB/T97.1-2002"
"27","1040200504","Гайка M10-8","2","GB/T889.1-2000"
"28","1040001631","Болт M6×20-A2-70","5","GB/T5783-2000"
"29","1040300771","Шайба 6-200HV","5","GB/T97.1-2002"
"30","00771607100401020","Изогнутая пластина","1",""
"31","1040301735","Шайба 8-100HV","5","GB/T97.1-2002"
"32","1040201896","Гайка M6-8","5","GB/T889.1-2015"
"33","1040201874","Гайка M8-8","2","GB/T889.1-2000"
"34","1040002434","Болт M10×25-8.8","4","GB/T5783-2000"
"35","1040200503","Гайка M8-8","8","GB/T889.1-2000"
"36","1040302480","Шайба 8-200HV","4","GB/T96.1-2002"
"37","1040302512","Шайба 10-200HV","4","GB/T96.1-2002"
