"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","00771407101001020","Воздуховыпускной труба-хвост","1",""
"2","1040004519","Болт M8×25-8.8","18","GB/T5783-2000"
"3","1040301735","Шайба 8-100HV","32","GB/T97.1-2002"
"4","00771407101001030","Усилительная планка","1",""
"5","1040201874","Гайка M8-8","24","GB/T889.1-2000"
"6","00771607111001030","Выхлопная труба
II","1",""
"7","00771407121001050","Уплотнительная прокладка I","2",""
"8","00771407121001010","Глушитель","1",""
"9","1040004520","Болт M8×30-8.8","4","GB/T5783-2000"
"10","00771607111010000","Кронштейн","1",""
"11","00771607111001010","Теплоизоляционная плита","1",""
"12","1040004619","Болт M8×35-8.8","6","GB/T5783-2000"
"13","00771607111001040","Уплотнительная прокладка II","1",""
"14","00771607111001020","Выхлопная труба
I","1",""
