"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","00773407000201060","Знак заправки по руководству
по эксплуатации","1",""
"2","00773407000201070","Знак «Опасность поражения
электрическим током»","2",""
"3","00771607000201080","Знак инструкции управления
наземным блоком управления","1",""
"5","00773407000201150","Знак «Отключить
аккумулятор»","1",""
"6","00773407000201160","Знак «К работе допускается
только уполномоченный
персонал, прошедший
обучение»","1",""
"7","00773407000201170","Знак «Запрещается
прикасаться»","1",""
"11","00773407000201210","Знак «Опасность защемления»","2",""
"12","00771409900601042","Паспортная табличка","1",""
"14","00773407000201240","Знак «Запрещается подъем»","4",""
"15","00773407000201250","Знак «При транспортировке
необходимо вставить
стопорный штифт»","1",""
"16","00773407000201260","Знак «Меры
предосторожности при
использовании»","1",""
"17","00773407000201270","Знак «Запрещается промывать
высоконапорной водой»","3",""
"18","00773407000201310","Знак «Категорически
запрещается модифицировать
концевой выключатель»","1",""
"20","00773407000201360","Знак колеса «Опасность
опрокидывания»","4",""
