"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","1040004570","Болт M16×30-8.8","2","GB/T5783-2000"
"2","00773400400001250","Стопорный штифт","2",""
"3","00771600301001170","Штифт гидроцилиндра","2",""
"4","00771600300201110","Диск","2",""
"5","00771600301010000","Гидроцилиндр
выдвижения-втягивания","1",""
"6","1040004522","Болт M8×50-8.8","4","GB/T5783-2000"
"7","1040301515","Шайба 8","3","GB/T97.1-2002"
"8","00771600800001100","Труб. зажим I","4",""
"9","1040101643","Винт M6×30-A2-70","2","GB/T70.1-2000"
"10","1040302487","Шайба 6","2",""
"11","00771400710001080","Основание крепления кабеля","1",""
"12","00771600300200000","1-я секция стрелы","1",""
"13","00771600301220000","Боковая противопылевая щетка","2",""
"14","00771600301410000","Верхняя противопылевая щетка","1",""
"15","00771600301230000","Нижняя противопылевая щетка","1",""
"16","1040004591","Болт M4×8-8.8","4","GB/T5783-2000"
"17","1040302484","Шайба4","4",""
"18","00771900310001060","Крышка датчика","1",""
"19","1040002433","Болт M10×20-8.8","16","GB/T5783-2000"
"20","00771400301401080","Регулировочная прокладка IV","8",""
