"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","/","Переключатель защиты от
придавливания 1
(Опциональная установка)","/",""
"2","/","Переключатель защиты от
придавливания 2
(Опциональная установка)","/",""
"3","/","Клапан подъема при
выравнивании платформы","/",""
"4","/","Клапан подъема консоли","/",""
"5","/","Клапан поворота влево
платформы","/",""
"6","/","Клапан поворота вправо
платформы","/",""
"7","/","Клапан опускания консоли","/",""
"8","/","Клапан опускания при
выравнивании платформы","/",""
"9","1020700540","Оконечное сопротивление","1",""
"10","1021404015","Датчик угла наклона
платформы","1",""
"11","1021404016","Датчик веса","1",""
"12","1020521022","Педальный переключатель","1",""
"13","00771606200210000","Электрический шкаф
управления платформой","1",""
