"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"21","00771600700800000","Кронштейн опорной трубы","1",""
"22","00771400700001010","Шайба","4",""
"23","1040301515","Шайба 8-200HV","13","GB/T97.1-2002"
"24","1040200503","Гайка M8-8","20","GB/T889.1-2000"
"25","1040102738","Винт M8×55-8.8","5","GB/T70.1-2000"
"26","1040102648","Винт M8×25-A2-70","6","GB/T70.2-2000"
"27","00771600701000000","Поворотный кронштейн","1",""
"28","1040200504","Гайка M10-8","24","GB/T889.1-2000"
"29","00771600700001010","Прижимной блок трубопровода","8",""
"30","00771400710001020","Прижимная планка","4",""
"31","1040004656","Болт M10×65-8.8","4","GB/T5782-2000"
"32","1040101995","Винт M10×30-8.8","4","GB/T70.1-2000"
"33","00771600700001090","Трубный направляющий шкив","1",""
"34","00771600700001130","Прижимная планка","2",""
"35","00771600700001120","Трубный зажим","4",""
"36","00771600700001100","Трубная опорная планка","1",""
