"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","00771606200220030","Электрический шкаф
управления поворотной
платформой","1",""
"2","00771606200220030","Электрический шкаф
управления поворотной
платформой","0",""
"3","00771606200220030","Электрический шкаф
управления поворотной
платформой","0",""
"4","/","Разгрузочный клапан","/",""
"5","/","Клапан выдвижения
стрелы","/",""
"6","/","Клапан выдвижения
стрелы","/",""
"7","/","Клапан поворота влево
поворотной платформы","/",""
"8","/","Клапан опускания стрелы","/",""
"9","/","Клапан втягивания стрелы","/",""
"10","/","Клапан поворота вправо
поворотной платформы","/",""
"11","/","Расходный клапан шасси","/",""
"12","/","Расходный клапан
платформы","/",""
"13","/","Клапан аварийного
опускания","/",""
"14","00771606200230020","Пучок кабеля ECU","1",""
"15","1029905348","Положительный полюс
аккумулятора","1",""
"16","/","Общественная земля","/",""
