"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"17","/","Реле вспомогательного
силового насоса","/",""
"18","/","Водо-масляный сепаратор","/",""
"19","/","Радиатор","/",""
"20","1021404019","Датчик угла наклона
кузова относительно горизонта","1",""
"21","1029906298","Концевой выключатель
угла поворота поворотной
платформы","1",""
"22","/","Контактное кольцо
Штепсель 1","/",""
"23","/","Контактное кольцо
Штепсель 2","/",""
"24","/","Уровень топлива","/",""
"25","1020304982","Аварийный зуммер","1",""
"26","/","Уличный фонарь
(Опциональная установка)","/",""
"27","/","Промежуточный модуль
лампы аварийной
сигнализации","/",""
"28","00771606200430000","Пучок кабеля стрелы","",""
"29","00771606200610000","Кабельный жгут
буксируемой цепи","/",""
"30","/","Разъемный соединитель
ящика ручного управления","/",""
"31","/","GPS Разъемный
соединитель","/",""
