"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"39","00771601100001090","Уплотняющая плита Tp2","1",""
"40","00771601100001060","Уплотняющая плита Tp2","1",""
"41","00771601100001050","Уплотняющая плита Tp2","1",""
"42","00771601101600000","Монтажный кронштейн","1",""
"43","00771601103200000","Регулировочная пластина","3",""
"44","1040004518","Болт M8×20-8.8","4","GB/T5783-2000"
"45","00771601100200000","Сварка правого переднего","1",""
"46","00771601103600000","Кронштейн","1",""
"47","00771601103001010","Дверное полотно Tp3","1",""
"48","1109800044","Замок с язычком YKGS282SS","1",""
"49","00771601100001020","Изогнутая пластина Tp5","1",""
"50","00771101103001020","Губка изоляции T6","1",""
"51","1040302861","Шайба 8","5","GB/T97.1-2002"
"52","1040202307","Винт M8--A2-70","5","GB/T6170-2015"
"53","1101000152","Петля CCM-Z165","1",""
"54","1040103077","Винт с выпуклой головкой и","5","GB/T818-2000"
"55","00771601100001120","Монтажная панель","1",""
"56","1999905631","Петля LC254-1","1",""
"57","00771101103201010","Плита Tp2","1",""
"58","1040201772","Винт M4--A2-70","8","GB/T6170-2000"
"59","1040302410","Шайба 4-200HV","8","GB/T97.1-2002"
"60","1029903782","Винт с выпуклой головкой и","8","GB/T818-2000"
"61","00771601100800000","Сварка правого заднего капота","1",""
"62","00771101100001020","Монтажная панель","1",""
"63","1040200113","Гайка M10-8","4","GB/T6170-2000"
"64","1040004678","Болт останова двери M10×70","2",""
