"№ п/п","Код мат-ла","Наименование и спецификация","Кол-во
штук","Примечание"
"1","1029906298","Концевой выключатель правой
задней оси","1",""
"2","1021404304","Датчик угла поворота правого
заднего колеса","1",""
"3","1029906298","Концевой выключатель заднего
левого моста","1",""
"4","1021404304","Датчик угла поворота левого
заднего колеса","1",""
"5","/","Клапан переднего гидроцилиндра
подъема-опускания","/",""
"6","/","Клапан заднего гидроцилиндра
подъема-опускания","/",""
"7","/","Контактное кольцо Штепсель 1","/",""
"8","/","Контактное кольцо Штепсель 2","/",""
"9","/","Плавающий клапан управления","/",""
"10","/","Двухскоростной клапан","/",""
"11","/","Тормозной клапан","/",""
"12","1029906298","Концевой выключатель переднего
гидроцилиндра подъема-опускания","",""
"13","1029906298","Концевой выключатель левой
передней оси","",""
"14","1021404304","Датчик угла поворота левого
переднего колеса","",""
"15","1029906298","Концевой выключатель правой
передней оси","",""
"16","1021404304","Датчик угла поворота правого
переднего колеса","",""
"17","/","Клапан втягивания передней оси","/",""
"18","/","Клапан втягивания правого
переднего колеса при рулевом
управлении","/",""
