"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"21","00771600301031030","Основание","1",""
"22","00771600301001310","Изогнутая пластина","1",""
"23","1040301515","Шайба 8","3",""
"24","1040004517","Болт M8×16-8.8","3","GB/T5783-2000"
"25","1040002442","Болт M12×70-8.8","3","GB/T5783-2000"
"26","00771600301001140","Стопор","1",""
"27","00771600301001130","Кронштейн стального каната II","1",""
"28","00771600300200000","1-я секция стрелы","1",""
"29","00771600300400000","2-я секция","1",""
"30","00771600300600000","3-я секция стрелы","1",""
"31","00771600301001090","1-й стальной канат
выдвижения стрелы","2",""
"32","00771600301010000","Гидроцилиндр
выдвижения-втягивания","1",""
"33","1040200507","Гайка M12","5","GB/T889.1-2000"
"34","00771600301150000","Блок роликов стального каната","1",""
"35","1040000227","Болт M12×140-8.8","1","GB/T5782-2000"
"36","00771600301001350","Стопорный штифт","2",""
"37","00771600301001180","Штифт шкива I","2",""
"38","00771600301001330","Не требующий смазки
подшипник","2",""
"39","00771600301001150","Цапфа шкива I","2",""
"40","00771600301001070","Шкив втягивания стрелы I
Защитная пластина","2",""
