"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","00771600300600000","3-я секция стрелы","1",""
"2","00771100301270000","Сухарь","10",""
"3","00773400300001140","Регулировочная прокладка V","12",""
"4","00771400301401080","Регулировочная прокладка IV","12",""
"5","1040302489","Шайба 10","36",""
"6","1040002433","Болт M10×20-8.8","16","GB/T5783-2000"
"7","00771600301630000","Сухарь","2",""
"8","00771400301401090","Регулировочная прокладка V","4",""
"9","1040002434","Болт M10×25-8.8","11","GB/T5783-2000"
"10","1040002435","Болт M10×35-8.8","10","GB/T5783-2000"
"11","00771600301430000","Сухарь","2",""
"12","00771600301420000","Боковая противопылевая
щетка","2",""
"13","00771600301610000","Верхняя противопылевая
щетка","1",""
"14","00771400301601020","Не требующий смазки
подшипник","2",""
"15","00771600301001290","Цапфа шкива IV","1",""
"16","00771600301001020","Шкив выдвижения стрелы II","1",""
"17","00771600301001210","Штифт шкива IV","1",""
"18","00771600301001350","Стопорный штифт","1",""
"19","1040004595","Болт M10×180-8.8","3","GB/T5782-2000"
"20","00771600301001060","Шкив выдвижения стрелы II
Защитная пластина","2",""
"21","1040200504","Гайка M10","3","GB/T889.1-2000"
"22","00771600301440000","Сухарь","2",""
