"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","1040001640","Винт M6×25-A2-70","30","GB/T5783-2000"
"2","1040300735","Шайба 6-200HV","60","GB/T96.1-2002"
"3","1040201902","Гайка M6-6","30","GB/T802-1988"
"4","00771601100001040","Уплотняющая плита Tp2","1",""
"5","00771601100001070","Уплотняющая плита Tp2","1",""
"6","00771601100001080","Уплотняющая плита Tp2","1",""
"7","1040200504","Гайка M10-8","2","GB/T889.1-2000"
"8","00771601102001020","Круглая сталь 10","1",""
"9","1040200113","Гайка M10-8","4","GB/T6170-2000"
"10","1040302512","Шайба 10-200HV","8","GB/T96.1-2002"
"11","00771601102001010","Угловая сталь L75×50×6","1",""
"12","1040004507","Болт M10×40-8.8","2","GB/T5783-2000"
"13","00771601100001010","Прижимная планка","2",""
"14","1040302492","Шайба 16-200HV","6","GB/T97.1-2002"
"15","1040301505","Шайба 16","14","GB/T93-1987"
"16","1040201382","Гайка M16-8","14","GB/T6170-2000"
"17","00771601101200000","Монтажный кронштейн левого","2",""
"18","1110100317","Пневматическая пружина
2065UF","4",""
"19","00771601100400000","Сварка левого переднего","1",""
"20","00771601101001020","Винт Φ10","1",""
