"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","1040002464","Болт M16×50-8.8","4","GB/T5782-2000"
"2","00773400400001250","Стопорный штифт","4",""
"3","00771602800001210","Плавающий гидроцилиндр II","2",""
"4","00771602801400000","Плавающий гидроцилиндр","2",""
"5","00771602800001170","Плавающий гидроцилиндр I","2",""
"6","00771602800001420","Регулировочная прокладка
ползуна качающейся рамы","4",""
"7","00771602800001430","Регулировочная прокладка
ползуна качающейся рамы II","4",""
"8","1040004508","Болт M10×45-8.8","6","GB/T5783-2000"
"9","1040302489","Шайба 10-200HV","98","GB/T97.1-2002"
"10","00771602803400000","Узел ползуна качающейся рамы","2",""
"11","1040004509","Болт M10×50-8.8","24","GB/T5783-2000"
"12","00771602800001240","Верхняя регулировочная
прокладка выносной опоры II","12",""
"13","00772102800001020","Верхняя регулировочная
прокладка выносной опоры","4",""
"14","00772102801400000","Сухарь","8",""
"15","1040004507","Болт M10×40-8.8","52","GB/T5783-2000"
"16","1040101122","Винт M10×35-8.8","4","GB/T70.3-2000"
"17","00771602800001220","Регулировочная прокладка","96",""
"18","00772102800001010","Боковая регулировочная
прокладка выносной опоры","32",""
"19","00772102801200000","Сухарь","32",""
"20","00772102800800000","Сухарь","8",""
