"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","00771600800200000","Конструкция поворотной","1",""
"2","00771600800001160","Уплотнительная пластина","3",""
"3","1040300735","Шайба 6-200HV","18","GB/T96.1-2002"
"4","1040002738","Болт M6×12-A2-70","11","GB/T5783-2000"
"5","1040004507","Болт M10×40-8.8","2","GB/T5783-2000"
"6","1040302512","Шайба 10-200HV","2","GB/T96.1-2002"
"7","00771400800001140","Изогнутая пластина","1",""
"8","1040302513","Шайба 16-200HV","1","GB/T96.1-2002"
"9","1040302492","Шайба 16-200HV","5","GB/T97.1-2002"
"10","1040002445","Болт M16×35-8.8","1","GB/T5783-2000"
"11","1040201875","Гайка M10×8","4","GB/T889.1-2000"
"12","1040004517","Болт M8×16-8.8","8","GB/T5783-2000"
"13","1040301515","Шайба 8-200HV","16","GB/T97.1-2002"
"14","00771400800001220","Монтажный кронштейн","1",""
"15","1040004508","Болт M10×45-8.8","2","GB/T5783-2000"
"16","00771400800001100","Вкладыш","1",""
"17","00771400800001110","Регулировочная прокладка","3",""
