"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","1140101478","Прямоугольный
композитный штуцер","2","EW15LOMDCF"
"2","1140101464","Прямой соединитель","5","GE15LREDOMDCF"
"3","1140108469","Прямой соединитель","2","GE08LR3/8EDOMDCF"
"4","1140101629","Шестигранная заглушка","3","VSTI3/8EDCF"
"5","1140101462","Прямой соединитель","1","GE12LREDOMDCF"
"6","1140101941","Прямой соединитель","1","GE10LR3/8EDOMDCF"
"7","1140108469","Прямой соединитель","1","GE08LR3/8EDOMDCF"
"8","1140102812","Прямой соединитель","1","GE18LREDOMDCF"
"9","1140101711","Тройный композитный
штуцер","1","EL20SOMDCF"
"10","1140101523","Прямой соединитель","1","GE20SREDOMDCF"
"11","1140103359","переходник","1","RED20/08SOMDCF"
"12","1140103362","Прямой соединитель","1","GE28LREDOMDCF"
"13","1060300324","Тройный композитный
штуцер","1","EL28LOMDCF"
"14","1140114591","переходник","1","RED28/15LOMDCF"
"15","1140101478","Прямоугольный
композитный штуцер","1","EW15LOMDCF"
"16","1140107803","Прямоугольный
композитный штуцер","1","EV28LOMDCF"
"17","1140101475","Прямоугольный
композитный штуцер","1","EW08LOMDCF"
"18","1140111237","Прямой соединитель","1","GE08LREDOMDCF"
"19","1040301515","Шайба 8-200HV","4","GB/T97.1-2002"
"20","1040004519","Шайба M8×25-8.8","4","GB/T5783-2000"
"21","1010306665","Главный клапан","1","R930073949"
"22","1040301510","Шайба 8","4","GB/T93-1987"
"23","1040201089","Гайка M8-8","2","GB/T6170-2000"
