"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","1040201089","Гайка M8-8","4","GB/T 6170-2000"
"2","1040301515","Шайба 8-200HV","30","GB/T 97.1-2002"
"3","00771400210001220","Шнек консоли I","4",""
"4","00771400210001190","Коробка трубопроводов консоли","1",""
"5","00771400210001210","Верхняя зажимная пластина
трубопровода консоли","2",""
"6","00771400210001200","Нижняя зажимная пластина
трубопровода консоли","2",""
"7","1021404015","Датчик наклона","1",""
"8","00771400200001200","Защитный кожух датчика","1",""
"9","1040103111","Винт M8×16-8.8","2","GB/T 70.1-2000"
"10","00771400210200000","Верхний шатун","1",""
"11","00771400210001120","Самосмазывающийся
подшипник II","2",""
"12","00771400210001080","Распорная втулка качающегося
цилиндра","1",""
"13","1010201527","Качающийся цилиндр","1",""
"14","1040102037","Винт M8×70-10.9-DKL","2","GB/T 70.1-2000"
"15","00771400210001020","Передний штифт верхнего
шатуна","1",""
"16","1040200503","Гайка M8-8","10","GB/T 889.1-2000"
"17","00771400210001110","Самосмазывающийся
подшипник","2",""
"18","00771400210400000","Нижний шатун","1",""
"19","1040103116","Винт M8×75-10.9","8","GB/T 70.1-2000"
"20","00771400210001070","Передний штифт нижнего
шатуна","1",""
