"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"21","00773407000201370","Знак 1 «Взрывоопасно»","1",""
"22","00773407000201380","Знак 2 «Взрывоопасно»","1",""
"24","00773407000201400","Знак «Внимательно
прочитайте инструкцию»","1",""
"26","00773407000201420","Знак «Строповка»","4",""
"27","00773407000201430","Знак «Подъем»","2",""
"28","00773407000201440","Знак «Руководство по
эксплуатации выключателя
основного питания»","1",""
"29","00773407000201450","Знак «Предэксплуатационная
проверка»","1",""
"30","00773407000201470","Знак предупреждения ожогов","1",""
"33","00771407000201080","Знак в виде синей стрелки","2",""
"34","00771407000201090","Знак в виде желтой стрелки","2",""
"37","00771407000201120","LOGO1 ЗУМЛИОН кузова","1",""
"40","00773407000201030","LOGO2 ЗУМЛИОН кузова","1",""
"42","00771407000201150","Дизельный бак","1",""
"44","00771407000201170","Экологический ярлык","1",""
"45","00771607000201010","Знак нагрузки колеса","4",""
"46","00771607000201020","Знак схемы безопасного
рабочего диапазона","1",""
"47","00771607000201030","Знак «Опасность
опрокидывания»","3",""
"50","00771607000201060","Знак напоминания и
инструкции по
транспортировке и подъему","1",""
