"№ п/п","Код мат-ла","Наименование и спецификация","Кол-во
штук","Примечание"
"1","1000000792","Дизельный двигатель","1",""
"2","1040001631","Болт M6×20-A2-70","4","GB/T5783-2000"
"3","1040003912","Болт M16×50-10.9-DKL","4","GB/T5783-2000"
"4","00773407100201020","Изогнутая пластина II","1",""
"5","1030400480","Эластичная муфта в сборе","1",""
"6","1040004033","Болт M10×25-10.9","8","GB/T5783-2000"
"7","00773407100201070","Крышка муфты","1",""
"8","1040100875","Болт M10×25-8.8","12","GB/T70.1-2008"
"9","1040004513","Болт M14×40-10.9","4","GB/T5783-2000"
"10","1040302491","Шайба 14-200HV","4","GB/T97.1-2002"
"11","00771400800001020","Самосмазывающийся подшипник","2",""
"12","00771607100210000","Кронштейн двигателя","1",""
"13","00773407100201050","Подкладка","4",""
"14","1040200161","Гайка M16-8","4","GB/T889-1986"
"15","1009900942","Демпфер двигателя","8",""
"16","00773407100201010","Изогнутая пластина I","1",""
"17","1040301016","Шайба 16-300HV","4","GB/T97.1-2002"
"18","00773407100201030","Изогнутая пластина IV","1",""
"19","1040301867","Шайба 14-140HV","4","GB/T97.1-2002"
"20","1040000490","Болт M12×30-10.9","4","GB/T5783-2000"
"21","00773407100201040","Изогнутая пластина III","1",""
