"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","00771607110401060","Топливная труба IV","1",""
"2","00771607110401070","Топливная труба V","1",""
"3","00771607110401020","Изогнутая пластина","1",""
"4","1040004518","Болт M8×20-8.8","3","GB/T5783-2000"
"5","1040301735","Шайба GB/T97.1-2002 8-100HV","7",""
"6","1040201874","Гайка M8-8","4","GB/T889.1-2000"
"7","1990200692","Клейкая лента, покрытая слоем
пластмассы","5",""
"8","1040302487","Шайба 6-200HV","7","GB/T97.1-2002"
"9","1040004663","Винт M6×12-8.8","7","GB/T5782-2000"
"10","00771607110401030","Топливная труба I","1",""
"11","1990202279","Хомут червяка и червячного
колеса","9",""
"12","00771607110410000","Топливный бак в сборе","1",""
"13","1040302480","Шайба 8-200HV","4","GB/T96.1-2002"
"14","1040302512","Шайба 10-200HV","4","GB/T96.1-2002"
"15","1040200503","Гайка M8-8","4","GB/T889.1-2000"
"16","1040002434","Болт M10×25-8.8","4","GB/T5783-2000"
"17","00773407100401060","Пустотелый болт M16×1.5×35","2",""
"18","1081000673","Комбин. уплот. шайба","4",""
"19","00773407100401050","Штуцер II","2",""
"20","1000400478","Водо-масляный сепаратор","1",""
"21","00771607110401040","Топливная труба II","1",""
"22","00771607110401050","Топливная труба III","1",""
"23","1040002458","Болт M8×40-8.8","4","GB/T5783-2000"
