"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","1040002435","Болт M10×35-8.8","10","GB/T5783-2000"
"2","1040302489","Шайба 10","24",""
"3","00771600301001400","Прижимная планка","2",""
"4","00771600300400000","2-я секция","1",""
"5","00771100301270000","Сухарь","10",""
"6","00771400301401080","Регулировочная прокладка IV","8",""
"7","00773400300001140","Регулировочная прокладка V","8",""
"8","1040002433","Болт M10×20-8.8","8","GB/T5783-2000"
"9","00771600301450000","Сухарь","2",""
"10","00771600301401050","Регулировочная прокладка","4",""
"11","1040002434","Болт M10×25-8.8","10","GB/T5783-2000"
"12","00771600301430000","Сухарь","2",""
"13","00771600301460000","Сухарь","1",""
"14","00771600301410000","Верхняя противопылевая щетка","1",""
"15","00771600301420000","Боковая противопылевая щетка","2",""
"16","1040200507","Гайка M12","5","GB/T889.1-2000"
"17","1040201381","Гайка M12","4","GB/T6170-2000"
"18","1040302490","Шайба 12","14","GB/T97.1-2002"
"19","00771600300401160","Ограничительная труба","6",""
"20","00771600301001110","2-й стальной канат выдвижения
стрелы","4",""
"21","1040200161","Гайка M16","2","GB/T889-1986"
"22","1040201382","Гайка M16","2","GB/T6170-2000"
"23","1040302492","Шайба 16","2",""
"24","00771600301001120","2-й стальной канат втягивания
стрелы","2",""
"25","1040004509","Болт M10×50-8.8","4","GB/T5783-2000"
"26","00771600301001430","Соед. планка","2",""
"27","00771600301110000","Сварная конструкция
направляющего шкива","2",""
"28","00771600301001410","Защитная пластина стального
каната","2",""
"29","1040004511","Болт M12×30-8.8","4","GB/T5783-2000"
"30","1040200504","Гайка M10","4","GB/T889.1-2000"
