"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"41","00771600301001030","Шкив втягивания стрелы I","2",""
"42","00771600301001240","Прижимная планка шкива I","2",""
"43","00771600301001010","Шкив выдвижения стрелы I","1",""
"44","00773400300001050","Подшип.","2",""
"45","00771600301001270","Цапфа шкива III","1",""
"46","00771600301001200","Болт M10×20-8.8","4","GB/T5783-2000"
"47","00771600301001120","Штифт шкива III","1",""
"48","00771600301001100","1-й стальной канат втягивания
стрелы","2",""
"49","1040000279","Болт M10×180-8.8","1","GB/T5782-2000"
"50","1040302512","Шайба 10","6",""
"51","00771600301001280","Сухарь","2",""
"52","1040004594","Болт M10×140-8.8","2","GB/T5782-2000"
"53","1040004593","Болт M10×55-8.8","6","GB/T5783-2000"
"54","1040002435","Болт M10×35-8.8","6","GB/T5783-2000"
"55","00771600301120000","Кронштейн направляющего
шкива","1",""
"56","00771600301001360","Шкив выдвижения стрелы I
Кронштейн","1",""
"57","1040200504","Гайка M10","20","GB/T889-1986"
"58","00773402810001260","Подшип.","2",""
"59","00771600301131020","Втулка вала","1",""
"60","00771600301131011","Направляющий шкив","1",""
"61","00771600301140000","Штифт","1",""
"62","1040004517","Болт M8×16-8.8","3","GB/T5783-2000"
