"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"21","00771607110601060","Возвратная труба","1",""
"22","1990202281","Хомут червяка и червячного
колеса","2",""
"23","00771607110601020","шланг IV","1",""
"24","1990202287","Хомут спирального червяка и
червячного колеса","8",""
"25","00773407130601210","Губка изоляции","1",""
"26","1040200170","Гайка M12-8","4","GB/T889-1986"
"27","1040300041","Шайба 12-200HV","8","GB/T97.1-2002"
"28","1040002262","Болт M12×55-10.9","4","GB/T5783-2000"
"29","00771407100601170","Подкладка","6",""
"30","1000300826","Блок радиатора","1",""
"31","1040201874","Гайка M8-8","19","GB/T889.1-2000"
"32","00771607110601140","Изогнутая пластина I","1",""
"33","1040004517","Болт M8×16-8.8","10",""
"34","1040301735","Шайба 8-100HV","30","GB/T97.1-2002"
"35","1040000239","Болт M8×25-8.8","15","GB/T5782-2000"
