"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","1000000735","Дизельный двигатель","1",""
"2","1040201896","Гайка M6-8","4","GB/T889-1986"
"3","1040002178","Болт M6×30-A2-70","4","GB/T5783-2000"
"4","00771407120201030","Изогнутая пластина III","1",""
"5","00771407120201020","Изогнутая пластина II","1",""
"6","1030400480","Эластичная муфта в сборе","1",""
"7","1040004033","Болт M10×25-10.9","8","GB/T5783-2000"
"8","00771407120201050","Крышка муфты","1",""
"9","1040302489","Шайба 10-200HV","12","GB/T97.1-2002"
"10","1040002435","Болт M10×35-8.8","12","GB/T5783-2000"
"11","00771400800001020","Самосмазывающийся
подшипник","2",""
"12","00771607120210000","Кронштейн двигателя","1",""
"13","1040200161","Гайка M16-8","4","GB/T889-1986"
"14","00773407100201050","Подкладка","4",""
"15","1009900942","Демпфер двигателя","8",""
"16","00771407120201010","Изогнутая пластина I","1",""
"17","00771407120201040","Изогнутая пластина IV","1",""
"18","1040004653","Болт M12×30-10.9","16","GB/T5783-2000"
"19","1040302490","Шайба 12-200HV","16","GB/T97.1-2002"
"20","1040302492","Шайба 16-200HV","4","GB/T97.1-2002"
"21","1040003912","Болт M16×50-10.9-DKL","4","GB/T5783-2000"
