"№ п/п","Код мат-ла","Наименование и спецификация","Кол-во
штук","Примечание"
"19","/","Клапан втягивания левого
переднего колеса при рулевом
управлении","/",""
"20","/","Клапан выдвижения левого
переднего колеса при рулевом
управлении","/",""
"21","/","Клапан выдвижения правого
переднего колеса при рулевом
управлении","/",""
"22","/","Клапан выдвижения передней оси","/",""
"23","/","Клапан выдвижения левого заднего
колеса при рулевом управлении","/",""
"24","/","Клапан выдвижения правого
заднего колеса при рулевом
управлении","/",""
"25","/","Клапан выдвижения задней оси","/",""
"26","/","Клапан втягивания задней оси","/",""
"27","/","Усадочный клапан заднего правого
рулевого механизма","/",""
"28","/","Усадочный клапан заднего левого
рулевого механизма","/",""
"29","","Концевой выключатель заднего
гидроцилиндра подъема-опускания","",""
"30","/","Вставной модуль контроллера
шасси","/",""
