"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","1000000796","Дизельный двигатель","1",""
"2","00771607110201030","Изогнутая пластина III","1",""
"3","00771107120201030","Крышка муфты","1","GB/T5783-2000"
"4","1040302489","Шайба 10-200HV","12","GB/T97.1-2002"
"5","1040003028","Болт 3/8-16UNC-2A×30-10.9","12",""
"6","1040300561","Шайба 6-200HV","4","GB/T97.1-2002"
"7","1040002269","Болт M6×16-10.9","4","GB/T5783-2000"
"8","1040101835","Винт 5/16-18UNC-2A×25-10.9","8",""
"9","1009805949","Эластичная муфта в сборе","1",""
"10","00771607110201010","Изогнутая пластина I","2",""
"11","1040003912","Болт M16×50-10.9-DKL","4","GB/T5783-2000"
"12","1040301016","Шайба 16-300HV","4","GB/T97.1-2002"
"13","1009900942","Демпфер двигателя","8",""
"14","00773407100201050","Подкладка","4",""
"15","1040201887","Гайка M16-8","4","GB/T889.1-2000"
"16","00771607110201020","Изогнутая пластина II","1",""
"17","1040004029","Болт M12×35-10.9","14","GB/T5783-2000"
"18","1040300041","Шайба 12-200HV","14","GB/T97.1-2002"
