"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","1040002434","Болт M10×25-8.8","8","GB/T5783-2000"
"2","1040301502","Шайба 10","11","GB/T93-1987"
"3","1040302489","Шайба 10-200HV","18","GB/T97.1-2002"
"4","00771600800001120","Кронштейн главного клапана","1",""
"5","00771600800001290","Радиатор Соед. планка","1",""
"6","1040004499","Болт M20×40-8.8","2","GB/T5783-2000"
"7","00773400400001170","Стопорный штифт","2",""
"8","00771600800001070","Штифт II","1",""
"9","1040002450","Болт M16×80-8.88","1","GB/T5783-2000"
"10","1040201882","Гайка M16-8","1","GB/T6172-2000"
"11","1040002433","Болт M10×20-8.8","2","GB/T5783-2000"
"12","00771600801400000","Сварка тяги","1",""
"13","00771100800001080","Капот Соед. планка","1",""
"14","00771400800001170","Кожух зубчатого венца","1",""
"15","00771600801600000","Сварка тяги II","1",""
"16","00771600800400000","Кронштейн масляного бака","1",""
"17","1040004565","Болт M10×30-8.8-DKL","11","GB/T5783-2000"
"18","00771400800001160","Резиновая прокладка","2",""
"19","00771600801000000","Кронштейн электрического","1",""
"20","00771400800001150","Прокл-ка","4",""
