"№ п/п","Код мат-ла","Наименование и спецификация","Кол-во
штук","Примечание"
"1","1040004519","Болт M8×25-8.8","20","GB/T5783-2000"
"2","1040301515","Шайба 8-200HV","39","GB/T97.1-2002"
"3","00771407100601240","Плита III","1",""
"4","00771407100601160","Плита I","1",""
"5","00771407100601150","Плита II","2",""
"6","00771607100601130","Ветровой щит","1",""
"7","00771607100601120","Изогнутая пластина II","1",""
"8","1040004619","Болт M8×35-8.8","4","GB/T5783-2000"
"9","00771407100601100","Изогнутая пластина IV","1",""
"10","00771407100601290","Губка изоляции","1",""
"11","1040004517","Болт M8×16-8.8","11","GB/T5783-2000"
"12","00771607100601110","Изогнутая пластина I","1",""
"13","1000300735","Расширительный бак","1",""
"14","1040200503","Гайка M8-8","20","GB/T889.1-2000"
"15","1990202282","Хомут червяка и червячного колеса","2",""
"16","1990202279","Хомут червяка и червячного колеса","6",""
"17","00771607100601090","Паровой шланг I","1",""
"18","00771607100601070","Паровой шланг II","1",""
"19","00771607100601080","Водопроводная труба","1",""
"20","1990202288","Хомут спирального червяка и
червячного колеса","6",""
"21","00771907100601040","Штуцер шланга III","1",""
"22","1000300702","Вентилятор в сборе","1",""
"23","00771407100601050","Штуцер шланга II","1",""
"24","00771407100601260","Паровой шланг
III","1",""
"25","00771407100601250","Штуцер","1",""
"26","00771407100601060","Штуцер шланга I","1",""
"27","00771607100601290","Губка изоляции II","1",""
"28","1040002262","Болт M12×55-10.9","4","GB/T5783-2000"
"29","1040301031","Шайба 12-300HV","8","GB/T96.1-2002"
"30","00771407100601170","Подкладка","6",""
"31","1000300701","Блок радиатора","1",""
"32","1040200507","Гайка M12-8","4","GB/T889.1-2000"
"33","00771407100601110","Изогнутая пластина III","1",""
