"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"2","00773407000201070","Знак «Опасность поражения
электрическим током»","4",""
"4","00773407000201090","Знак «Опасность
опрокидывания, столкновения»","1",""
"9","00773407000201190","Знак «Опасность
придавливания»","2",""
"11","00773407000201210","Знак «Опасность защемления»","1",""
"14","00773407000201240","Знак «Запрещается подъем»","2",""
"16","00773407000201260","Знак «Меры предосторожности
при использовании»","1",""
"19","00773407000201320","Знак «Опасность
столкновения»","2",""
"23","00773407000201390","Знак «Хранение руководства по
эксплуатации»","1",""
"25","00773407000201410","Знак «Точка крепления
страховочного троса»","6",""
"26","00773407000201420","Знак «Строповка»","4",""
"27","00773407000201430","Знак «Подъем»","2",""
"29","00773407000201450","Знак «Предэксплуатационная
проверка»","1",""
